Best trial value: 0.1244856200368869
Best hyperparameters: {'alpha': 0.02023933552996029, 'l1_ratio': 0.9998149684868581}

All trial results:
Trial 0: Value=0.12911003560354253, Params={'alpha': 0.05905326958008103, 'l1_ratio': 0.8859554440922547}
Trial 495: Value=0.12462127379788897, Params={'alpha': 0.022901879824008278, 'l1_ratio': 0.9999363650380493}
Trial 496: Value=0.12768875524205958, Params={'alpha': 0.04633418627758283, 'l1_ratio': 0.9835473945387281}
Trial 497: Value=0.1278498713744524, Params={'alpha': 0.00835094788937015, 'l1_ratio': 0.9587782335867191}
Trial 498: Value=0.12535248056211198, Params={'alpha': 0.013076659832909373, 'l1_ratio': 0.97926813950609}
Trial 499: Value=0.12454203448230854, Params={'alpha': 0.018056037677044893, 'l1_ratio': 0.9997467001825928}
Trial 500: Value=0.12518581169756138, Params={'alpha': 0.029434927585361852, 'l1_ratio': 0.9296681091530554}
Trial 501: Value=0.12453966153351387, Params={'alpha': 0.02035952072997528, 'l1_ratio': 0.9570434146121523}
Trial 502: Value=0.12476323859634214, Params={'alpha': 0.024998943907763894, 'l1_ratio': 0.9793127145682655}
Trial 503: Value=0.1258835500463761, Params={'alpha': 0.01093917645113781, 'l1_ratio': 0.9998169897194069}
Trial 504: Value=0.12621780971046379, Params={'alpha': 0.03635657100311065, 'l1_ratio': 0.952876976731236}
Trial 505: Value=0.12485602174782855, Params={'alpha': 0.0157777494482277, 'l1_ratio': 0.9813706045083718}
Trial 506: Value=0.12451433286227437, Params={'alpha': 0.020928636314850646, 'l1_ratio': 0.9666153376457693}
Trial 507: Value=0.1250319816067349, Params={'alpha': 0.014869738402229547, 'l1_ratio': 0.9710038580016735}
Trial 508: Value=0.12545622207691207, Params={'alpha': 0.03008050827486041, 'l1_ratio': 0.9996976897295439}
Trial 509: Value=0.12457556103913792, Params={'alpha': 0.019939926188636298, 'l1_ratio': 0.928993567087454}
Trial 510: Value=0.12469217439276638, Params={'alpha': 0.024475474281868907, 'l1_ratio': 0.9476810281565768}
Trial 511: Value=0.12558111513811512, Params={'alpha': 0.012088412596398914, 'l1_ratio': 0.9812256583272663}
Trial 512: Value=0.1269667567051723, Params={'alpha': 0.04146166358913963, 'l1_ratio': 0.9618154573797963}
Trial 513: Value=0.17307449744293846, Params={'alpha': 0.19699763197065362, 'l1_ratio': 0.999599192607433}
Trial 514: Value=0.12464813857922692, Params={'alpha': 0.01722814580693313, 'l1_ratio': 0.9809151124062518}
Trial 515: Value=0.1289274656407894, Params={'alpha': 0.028599392068256457, 'l1_ratio': 0.2660938533638694}
Trial 516: Value=1.0041624961256486, Params={'alpha': 9.642964442910188, 'l1_ratio': 0.9521400544586662}
Trial 517: Value=0.12827666896491827, Params={'alpha': 0.00843860116258256, 'l1_ratio': 0.90234027907528}
Trial 518: Value=0.12450429767377454, Params={'alpha': 0.020909702756547452, 'l1_ratio': 0.980507212108162}
Trial 519: Value=0.128929616927599, Params={'alpha': 0.05631360826458528, 'l1_ratio': 0.9284792331541484}
Trial 520: Value=1.0041624961256486, Params={'alpha': 302.1865130602321, 'l1_ratio': 0.30904648411937974}
Trial 521: Value=0.12459433620272369, Params={'alpha': 0.022905804478136005, 'l1_ratio': 0.9644244231891329}
Trial 522: Value=0.12610540572077408, Params={'alpha': 0.0357133363122046, 'l1_ratio': 0.9476956492494901}
Trial 523: Value=0.12518635915807408, Params={'alpha': 0.013918476767175836, 'l1_ratio': 0.9772548869263081}
Trial 524: Value=0.12453872454536641, Params={'alpha': 0.01967116142545186, 'l1_ratio': 0.9688959293403895}
Trial 525: Value=0.12494749241578489, Params={'alpha': 0.027389103448318686, 'l1_ratio': 0.9388577201048479}
Trial 526: Value=0.12484895444099442, Params={'alpha': 0.01579481773705491, 'l1_ratio': 0.9828471422071422}
Trial 527: Value=0.12591645850145625, Params={'alpha': 0.0112650855916879, 'l1_ratio': 0.9639907953543414}
Trial 528: Value=0.12464113766609279, Params={'alpha': 0.023345031788674524, 'l1_ratio': 0.9864130765791481}
Trial 529: Value=0.1258567191450504, Params={'alpha': 0.034588412199279356, 'l1_ratio': 0.9215852917229432}
Trial 530: Value=0.12457687618859932, Params={'alpha': 0.019072074875551747, 'l1_ratio': 0.9472049747171317}
Trial 531: Value=0.12770088607431032, Params={'alpha': 0.045995510546373394, 'l1_ratio': 0.9996679604184399}
Trial 532: Value=0.12509209699451743, Params={'alpha': 0.027948212703304068, 'l1_ratio': 0.9701196976735696}
Trial 533: Value=0.12507698569538003, Params={'alpha': 0.014495355480747896, 'l1_ratio': 0.9789937896578993}
Trial 534: Value=0.1325272962315917, Params={'alpha': 0.010324434162236386, 'l1_ratio': 0.5061419417476964}
Trial 535: Value=0.1245235736827671, Params={'alpha': 0.021447712927785183, 'l1_ratio': 0.9996273716184894}
Trial 536: Value=0.12483294121101363, Params={'alpha': 0.016529706799523744, 'l1_ratio': 0.9531174249973147}
Trial 537: Value=0.12518643151612727, Params={'alpha': 0.02844769370539595, 'l1_ratio': 0.9815060603893315}
Trial 538: Value=0.12452435349108237, Params={'alpha': 0.021522008082890426, 'l1_ratio': 0.9659677199804373}
Trial 539: Value=0.12568106571945878, Params={'alpha': 0.012272094777019488, 'l1_ratio': 0.9385825069592793}
Trial 540: Value=0.12652590328015, Params={'alpha': 0.037677297373241034, 'l1_ratio': 0.9829133041491549}
Trial 541: Value=0.12484172836079728, Params={'alpha': 0.017301681856592796, 'l1_ratio': 0.916113447624028}
Trial 542: Value=0.1317185960391993, Params={'alpha': 0.005882654383699289, 'l1_ratio': 0.9582784701858913}
Trial 543: Value=0.12478906128376778, Params={'alpha': 0.025201298501390416, 'l1_ratio': 0.985019056130079}
Trial 544: Value=0.12518061187122828, Params={'alpha': 0.014122801561890594, 'l1_ratio': 0.9667998555221419}
Trial 545: Value=1.0041624961256486, Params={'alpha': 54.62177612900784, 'l1_ratio': 0.984037329124256}
Trial 546: Value=0.12540564079638186, Params={'alpha': 0.030837530978654746, 'l1_ratio': 0.9407582458602083}
Trial 547: Value=0.12685911782281942, Params={'alpha': 0.009424498883101349, 'l1_ratio': 0.9631177672853704}
Trial 548: Value=0.12454900844824558, Params={'alpha': 0.01837600104374123, 'l1_ratio': 0.9839930105510605}
Trial 549: Value=0.13795064126810852, Params={'alpha': 0.09958505973149301, 'l1_ratio': 0.9523050627117964}
Trial 550: Value=0.12459923948524043, Params={'alpha': 0.022775888128936456, 'l1_ratio': 0.9837740358478565}
Trial 551: Value=0.12736854706688372, Params={'alpha': 0.04359327406371514, 'l1_ratio': 0.9992404119069128}
Trial 552: Value=0.1251573561236394, Params={'alpha': 0.013738292244888343, 'l1_ratio': 0.9987817847021777}
Trial 553: Value=0.12507289587782627, Params={'alpha': 0.02938025209225895, 'l1_ratio': 0.8892929652547263}
Trial 554: Value=0.13015428099756854, Params={'alpha': 0.06375270537790273, 'l1_ratio': 0.9353490135954153}
Trial 555: Value=0.12451963508245678, Params={'alpha': 0.021345111550694084, 'l1_ratio': 0.9658925161926365}
Trial 556: Value=0.12458883192572552, Params={'alpha': 0.017453213196404933, 'l1_ratio': 0.999586552546313}
Trial 557: Value=0.12592578033780483, Params={'alpha': 0.011161258802482744, 'l1_ratio': 0.9704333023261054}
Trial 558: Value=0.12551724715711174, Params={'alpha': 0.031457171543727985, 'l1_ratio': 0.951567700307791}
Trial 559: Value=0.12463042828205755, Params={'alpha': 0.02324459324859892, 'l1_ratio': 0.9800589313751122}
Trial 560: Value=0.12514532199706294, Params={'alpha': 0.015151761614152324, 'l1_ratio': 0.9196719342460604}
Trial 561: Value=0.12830256965041972, Params={'alpha': 0.007861646587461565, 'l1_ratio': 0.9674617088768996}
Trial 562: Value=0.12625911395994813, Params={'alpha': 0.0355566437221405, 'l1_ratio': 0.9990492285262805}
Trial 563: Value=0.12454608587677803, Params={'alpha': 0.01800649850777994, 'l1_ratio': 0.9995902553170404}
Trial 564: Value=0.12490359803256644, Params={'alpha': 0.0268529979223072, 'l1_ratio': 0.9483958850267528}
Trial 565: Value=0.1254710230748808, Params={'alpha': 0.01261264007845062, 'l1_ratio': 0.9732881868188559}
Trial 566: Value=0.12683474276722298, Params={'alpha': 0.049688917181944244, 'l1_ratio': 0.6260735515557028}
Trial 567: Value=0.14701790444994825, Params={'alpha': 0.0022913387608520896, 'l1_ratio': 0.9790260201572453}
Trial 568: Value=0.12448862696864482, Params={'alpha': 0.020532861980113695, 'l1_ratio': 0.9999638772755305}
Trial 569: Value=0.12459977172897534, Params={'alpha': 0.022607410102165146, 'l1_ratio': 0.9999775207723642}
Trial 570: Value=0.1261224220906718, Params={'alpha': 0.016223505977774683, 'l1_ratio': 0.6543952623128004}
Trial 571: Value=0.12476751774916768, Params={'alpha': 0.0250111863195367, 'l1_ratio': 0.9817445603553673}
Trial 572: Value=0.12653582568204982, Params={'alpha': 0.038237138378880875, 'l1_ratio': 0.9614389557379293}
Trial 573: Value=0.12455496749054888, Params={'alpha': 0.01830308952667919, 'l1_ratio': 0.9837190629321622}
Trial 574: Value=0.1265494067380895, Params={'alpha': 0.009549730166686567, 'l1_ratio': 0.9995941452614926}
Trial 575: Value=0.12550197499452642, Params={'alpha': 0.012964507704792141, 'l1_ratio': 0.9400406294005944}
Trial 576: Value=0.12499413613590075, Params={'alpha': 0.0274238727546928, 'l1_ratio': 0.9575385884815945}
Trial 577: Value=0.12448772119919953, Params={'alpha': 0.02048800705514712, 'l1_ratio': 0.9995076232993181}
Trial 578: Value=0.12470448598302741, Params={'alpha': 0.016435963820290663, 'l1_ratio': 0.999443038369949}
Trial 579: Value=0.12599999003894988, Params={'alpha': 0.03384819390563395, 'l1_ratio': 0.9995148222910812}
Trial 580: Value=0.1245027445016255, Params={'alpha': 0.0208310401173895, 'l1_ratio': 0.9810127227978189}
Trial 581: Value=0.12621226197187882, Params={'alpha': 0.024588498797559023, 'l1_ratio': 0.469192271045365}
Trial 582: Value=0.1275211592708042, Params={'alpha': 0.0453362271443767, 'l1_ratio': 0.9749900592578983}
Trial 583: Value=1.0041624961256486, Params={'alpha': 26.805480646978207, 'l1_ratio': 0.9803250803624716}
Trial 584: Value=0.12536575217784426, Params={'alpha': 0.013229272011628436, 'l1_ratio': 0.964840697215821}
Trial 585: Value=0.12561798588145615, Params={'alpha': 0.031649159268020165, 'l1_ratio': 0.980921932957}
Trial 586: Value=0.12460256483402983, Params={'alpha': 0.018501819334462266, 'l1_ratio': 0.9536519146133008}
Trial 587: Value=0.12457688917329475, Params={'alpha': 0.02275697124308488, 'l1_ratio': 0.9341386383387154}
Trial 588: Value=0.12598425979349195, Params={'alpha': 0.010900199803286294, 'l1_ratio': 0.9800972924240196}
Trial 589: Value=0.12495866047422409, Params={'alpha': 0.014784022783378866, 'l1_ratio': 0.9994388926331794}
Trial 590: Value=0.1250149749180108, Params={'alpha': 0.027400037097585237, 'l1_ratio': 0.9679424037949977}
Trial 591: Value=0.12455272841198474, Params={'alpha': 0.02006036881519997, 'l1_ratio': 0.9528593209884682}
Trial 592: Value=0.12642989346151332, Params={'alpha': 0.03712030785399261, 'l1_ratio': 0.9787112373024751}
Trial 593: Value=0.1250355535250436, Params={'alpha': 0.014636445819938075, 'l1_ratio': 0.9833211023516143}
Trial 594: Value=0.1246379935056176, Params={'alpha': 0.02381464071726512, 'l1_ratio': 0.9350841846357013}
Trial 595: Value=0.1266950813274367, Params={'alpha': 0.009733809575100122, 'l1_ratio': 0.9567520345643098}
Trial 596: Value=0.12449450822022062, Params={'alpha': 0.020774998339586778, 'l1_ratio': 0.9997230981037711}
Trial 597: Value=0.12608695201107403, Params={'alpha': 0.03477173465005849, 'l1_ratio': 0.9841435432439863}
Trial 598: Value=0.12457444614859581, Params={'alpha': 0.017665247089312927, 'l1_ratio': 0.9981520266927444}
Trial 599: Value=0.12747504246310323, Params={'alpha': 0.05185545899489698, 'l1_ratio': 0.7279348266720089}
Trial 600: Value=0.12928390080446983, Params={'alpha': 0.0068901757042232675, 'l1_ratio': 0.9986930871870472}
Trial 601: Value=0.16236902588951918, Params={'alpha': 0.0011260553375637733, 'l1_ratio': 0.9997058694687068}
Trial 602: Value=0.12498055537754216, Params={'alpha': 0.026912640143095544, 'l1_ratio': 0.9805949325747911}
Trial 603: Value=0.12511301928176835, Params={'alpha': 0.013952011998367257, 'l1_ratio': 0.999963425046076}
Trial 604: Value=0.12453501331100876, Params={'alpha': 0.0199954616227393, 'l1_ratio': 0.9666871708957021}
Trial 605: Value=0.1254899543230985, Params={'alpha': 0.030697329189164485, 'l1_ratio': 0.9793155924621365}
Trial 606: Value=0.12551548238319213, Params={'alpha': 0.012567831837140038, 'l1_ratio': 0.964342763147405}
Trial 607: Value=0.12455372274993137, Params={'alpha': 0.018566326902844755, 'l1_ratio': 0.9750376934208409}
Trial 608: Value=0.12457346263825915, Params={'alpha': 0.022668743742310028, 'l1_ratio': 0.9488681532813842}
Trial 609: Value=0.12665234096671452, Params={'alpha': 0.038626194552084395, 'l1_ratio': 0.9812288446419162}
Trial 610: Value=0.12481585786506393, Params={'alpha': 0.015707312791140668, 'l1_ratio': 0.9993596517636094}
Trial 611: Value=0.12636576059574642, Params={'alpha': 0.010089417279920278, 'l1_ratio': 0.9799004048943719}
Trial 612: Value=0.12481164967165909, Params={'alpha': 0.0258622743515112, 'l1_ratio': 0.9551950817440882}
Trial 613: Value=0.130625693134486, Params={'alpha': 0.02981750361734259, 'l1_ratio': 0.2112640469031466}
Trial 614: Value=0.12474014702758052, Params={'alpha': 0.01657588500954069, 'l1_ratio': 0.9817229496636813}
Trial 615: Value=0.1255242577689868, Params={'alpha': 0.012070248193498542, 'l1_ratio': 0.9994934382933107}
Trial 616: Value=0.19755101668542896, Params={'alpha': 0.25822921323901277, 'l1_ratio': 0.9213129582388161}
Trial 617: Value=0.12451727235898256, Params={'alpha': 0.020706881437531473, 'l1_ratio': 0.9656351621237954}
Trial 618: Value=0.12715038842486212, Params={'alpha': 0.04343852690602481, 'l1_ratio': 0.9403230285776867}
Trial 619: Value=0.1245899857571241, Params={'alpha': 0.022828328616148523, 'l1_ratio': 0.9658345495418637}
Trial 620: Value=0.13071265572946122, Params={'alpha': 0.06516295962056164, 'l1_ratio': 0.9829168433787566}
Trial 621: Value=0.1253082736894301, Params={'alpha': 0.029933089187987576, 'l1_ratio': 0.9509976164092752}
Trial 622: Value=0.12521802280571148, Params={'alpha': 0.013658485663868286, 'l1_ratio': 0.9821819021519073}
Trial 623: Value=0.12472365039803478, Params={'alpha': 0.016678366757406107, 'l1_ratio': 0.981609160183311}
Trial 624: Value=0.1245005065661096, Params={'alpha': 0.020960092611520424, 'l1_ratio': 0.9993138976597624}
Trial 625: Value=0.12699628417314293, Params={'alpha': 0.009044151297523423, 'l1_ratio': 0.9842055754035041}
Trial 626: Value=0.12491445601305078, Params={'alpha': 0.02629378234387127, 'l1_ratio': 0.9858381606483482}
Trial 627: Value=0.13916506114412053, Params={'alpha': 0.0034513653015004527, 'l1_ratio': 0.9994037074580665}
Trial 628: Value=0.12591093186615515, Params={'alpha': 0.03398727405773092, 'l1_ratio': 0.9621830724857035}
Trial 629: Value=0.12459739281243654, Params={'alpha': 0.01771513805096197, 'l1_ratio': 0.9846634920195008}
Trial 630: Value=1.0041624961256486, Params={'alpha': 87.93358742086228, 'l1_ratio': 0.9440854758037533}
Trial 631: Value=0.1256107298313716, Params={'alpha': 0.011754070899035057, 'l1_ratio': 0.9986005179628966}
Trial 632: Value=0.12471735547166234, Params={'alpha': 0.024623950310194046, 'l1_ratio': 0.9650449657837138}
Trial 633: Value=1.0041624961256486, Params={'alpha': 766.6632437251775, 'l1_ratio': 0.9837256680970967}
Trial 634: Value=0.12502161590782165, Params={'alpha': 0.014449336485099997, 'l1_ratio': 0.9987029134174787}
Trial 635: Value=0.1245198853918739, Params={'alpha': 0.018572394853314644, 'l1_ratio': 0.9993269527486021}
Trial 636: Value=0.12806908438496808, Params={'alpha': 0.049519761297538115, 'l1_ratio': 0.9635927048251187}
Trial 637: Value=0.12572143137879788, Params={'alpha': 0.03351862770207256, 'l1_ratio': 0.928360437915756}
Trial 638: Value=0.12465065678256997, Params={'alpha': 0.024299157728606722, 'l1_ratio': 0.9031066302840255}
Trial 639: Value=0.12826116290434042, Params={'alpha': 0.007896024554791145, 'l1_ratio': 0.9676833547234837}
Trial 640: Value=0.12488053507634433, Params={'alpha': 0.015297323729791788, 'l1_ratio': 0.9986883573824327}
Trial 641: Value=0.12453778988826388, Params={'alpha': 0.02055280215153821, 'l1_ratio': 0.9541421611280003}
Trial 642: Value=0.12571639257517134, Params={'alpha': 0.04004261323599262, 'l1_ratio': 0.5203672539864143}
Trial 643: Value=0.1256454848012497, Params={'alpha': 0.011609896471265915, 'l1_ratio': 0.9997293385652187}
Trial 644: Value=0.1253589399501196, Params={'alpha': 0.029341044962548364, 'l1_ratio': 0.9996857678524977}
Trial 645: Value=0.12455070929089922, Params={'alpha': 0.018786474200441113, 'l1_ratio': 0.9704064019009337}
Trial 646: Value=0.12526191172049836, Params={'alpha': 0.014003083236963651, 'l1_ratio': 0.9467805149521105}
Trial 647: Value=0.12472220644942363, Params={'alpha': 0.02460254418922272, 'l1_ratio': 0.9733452239454689}
Trial 648: Value=0.12452985447560634, Params={'alpha': 0.01902129082392561, 'l1_ratio': 0.9820029504890774}
Trial 649: Value=0.12565668614003359, Params={'alpha': 0.03277062884783146, 'l1_ratio': 0.9414843753138895}
Trial 650: Value=0.12650692279305634, Params={'alpha': 0.009801881017822464, 'l1_ratio': 0.9812891668838651}
Trial 651: Value=0.12468240618682941, Params={'alpha': 0.024169494484152093, 'l1_ratio': 0.9634531879043046}
Trial 652: Value=0.12559368436335197, Params={'alpha': 0.016035467089395947, 'l1_ratio': 0.756800693309948}
Trial 653: Value=0.12534031743613902, Params={'alpha': 0.013098842854388254, 'l1_ratio': 0.981777144903505}
Trial 654: Value=0.12709268167760887, Params={'alpha': 0.04339104904816483, 'l1_ratio': 0.925175873482853}
Trial 655: Value=0.12456409176321637, Params={'alpha': 0.022123376538346215, 'l1_ratio': 0.9999105003792979}
Trial 656: Value=0.12536385100212266, Params={'alpha': 0.030265695950045877, 'l1_ratio': 0.9541462653253767}
Trial 657: Value=0.12453601989213643, Params={'alpha': 0.0198530682595381, 'l1_ratio': 0.9688075408571268}
Trial 658: Value=0.12481348529263303, Params={'alpha': 0.01606605705512468, 'l1_ratio': 0.9820367795305159}
Trial 659: Value=0.12611348928315835, Params={'alpha': 0.010994521754770245, 'l1_ratio': 0.9465634429483284}
Trial 660: Value=0.13265277508180903, Params={'alpha': 0.005409032129419661, 'l1_ratio': 0.9786925112053729}
Trial 661: Value=0.13365278528406074, Params={'alpha': 0.07889906245580867, 'l1_ratio': 0.9998483641922785}
Trial 662: Value=0.12580572493318376, Params={'alpha': 0.03325165470334634, 'l1_ratio': 0.9638568504281619}
Trial 663: Value=0.1250095280055889, Params={'alpha': 0.026832912331024632, 'l1_ratio': 0.9993721751950525}
Trial 664: Value=0.14200520789812965, Params={'alpha': 0.01977304808083889, 'l1_ratio': 0.12620084997730596}
Trial 665: Value=0.12494411433018289, Params={'alpha': 0.015220714743297767, 'l1_ratio': 0.9808985616886577}
Trial 666: Value=0.6203777987625392, Params={'alpha': 0.7093604669880275, 'l1_ratio': 0.9339655401761001}
Trial 667: Value=0.1247378336747692, Params={'alpha': 0.024981007045266665, 'l1_ratio': 0.9591004793652771}
Trial 668: Value=0.12932754048176173, Params={'alpha': 0.05644728928426055, 'l1_ratio': 0.9993753362196779}
Trial 669: Value=0.12598417266444695, Params={'alpha': 0.01176421882226557, 'l1_ratio': 0.9097380916659396}
Trial 670: Value=0.12823019952076467, Params={'alpha': 0.00784140876777591, 'l1_ratio': 0.9781499725307922}
Trial 671: Value=0.12648557679698605, Params={'alpha': 0.038241027998765886, 'l1_ratio': 0.9483148196293641}
Trial 672: Value=0.16218012719720695, Params={'alpha': 0.017704573488976805, 'l1_ratio': 0.02674102741497064}
Trial 673: Value=0.12466763908093297, Params={'alpha': 0.02390890984980787, 'l1_ratio': 0.9682733651868837}
Trial 674: Value=0.12507468502740193, Params={'alpha': 0.014473474798286074, 'l1_ratio': 0.9810143561108763}
Trial 675: Value=0.12648116810437696, Params={'alpha': 0.026571092141296118, 'l1_ratio': 0.4196377327778742}
Trial 676: Value=1.0041624961256486, Params={'alpha': 1.675730234954807, 'l1_ratio': 0.9992469500842143}
Trial 677: Value=0.12872567592856377, Params={'alpha': 0.018832092370686962, 'l1_ratio': 0.38722267692708057}
Trial 678: Value=0.12571471783542543, Params={'alpha': 0.032697118300293655, 'l1_ratio': 0.9620149243921553}
Trial 679: Value=0.1262538529294901, Params={'alpha': 0.010777754169877597, 'l1_ratio': 0.9387041149861373}
Trial 680: Value=0.12550705364895268, Params={'alpha': 0.01900358249402271, 'l1_ratio': 0.6819130799338453}
Trial 681: Value=0.12703167371545812, Params={'alpha': 0.014608474410687652, 'l1_ratio': 0.6100025212663898}
Trial 682: Value=0.12461874669758176, Params={'alpha': 0.023046816840220922, 'l1_ratio': 0.9841681485406517}
Trial 683: Value=0.12735341780065876, Params={'alpha': 0.04346092565751728, 'l1_ratio': 0.9998421624355142}
Trial 684: Value=1.0041624961256486, Params={'alpha': 11.499077204421354, 'l1_ratio': 0.9663012531272588}
Trial 685: Value=0.12537920339484676, Params={'alpha': 0.029793478506441973, 'l1_ratio': 0.9825861796527526}
Trial 686: Value=0.1252505818722619, Params={'alpha': 0.013939868484473131, 'l1_ratio': 0.954131256515197}
Trial 687: Value=0.12450286907908577, Params={'alpha': 0.020830028269591915, 'l1_ratio': 0.9807641848697064}
Trial 688: Value=0.12459749480088676, Params={'alpha': 0.022577209290976293, 'l1_ratio': 0.9995478882058061}
Trial 689: Value=0.1265917863458877, Params={'alpha': 0.03947192974034376, 'l1_ratio': 0.9276487360009683}
Trial 690: Value=0.12666529722229078, Params={'alpha': 0.00966891127099093, 'l1_ratio': 0.9678899012124791}
Trial 691: Value=0.1247527772768247, Params={'alpha': 0.016527225523834826, 'l1_ratio': 0.9801966251581761}
Trial 692: Value=0.12491100280289354, Params={'alpha': 0.026901842120019052, 'l1_ratio': 0.9491855946497573}
Trial 693: Value=0.12450135881736207, Params={'alpha': 0.02067975661030371, 'l1_ratio': 0.9807908649973828}
Trial 694: Value=0.12517545920481973, Params={'alpha': 0.0283404372932491, 'l1_ratio': 0.9825900207418393}
Trial 695: Value=0.12539294176948332, Params={'alpha': 0.012608085272971907, 'l1_ratio': 0.9991237817502135}
Trial 696: Value=0.124544687697925, Params={'alpha': 0.019302955350632145, 'l1_ratio': 0.9641647711563313}
Trial 697: Value=0.12609508472342532, Params={'alpha': 0.035693519941535856, 'l1_ratio': 0.9454312311457691}
Trial 698: Value=0.12830941949282845, Params={'alpha': 0.0506025238798498, 'l1_ratio': 0.9819497347544565}
Trial 699: Value=0.12451985588828131, Params={'alpha': 0.021302675615920915, 'l1_ratio': 0.9642581298140465}
Trial 700: Value=0.12480687955579102, Params={'alpha': 0.01576930350119286, 'l1_ratio': 0.9995109508207872}
Trial 701: Value=0.12934003244953826, Params={'alpha': 0.006845104853036155, 'l1_ratio': 0.9998928992825382}
Trial 702: Value=0.12521843920084816, Params={'alpha': 0.029922245350942216, 'l1_ratio': 0.9184163494097759}
Trial 703: Value=0.12454391662958454, Params={'alpha': 0.02198178766752971, 'l1_ratio': 0.9699524390895393}
Trial 704: Value=0.12565162664684298, Params={'alpha': 0.012333133332495192, 'l1_ratio': 0.9424296216554157}
Trial 705: Value=0.1246704770133628, Params={'alpha': 0.017034596998851213, 'l1_ratio': 0.9809753728486869}
Trial 706: Value=0.12473166776961915, Params={'alpha': 0.024931125581458147, 'l1_ratio': 0.9559664759016769}
Trial 707: Value=0.12463631521623218, Params={'alpha': 0.017360152412117563, 'l1_ratio': 0.9808673535044634}
Trial 708: Value=0.12713905682294077, Params={'alpha': 0.00903221059415809, 'l1_ratio': 0.9666208117035087}
Trial 709: Value=0.12629615634775246, Params={'alpha': 0.036223801472254465, 'l1_ratio': 0.9807955867692126}
Trial 710: Value=0.12563917167348823, Params={'alpha': 0.01239677561932537, 'l1_ratio': 0.9413619629659761}
Trial 711: Value=0.12503997534576564, Params={'alpha': 0.027350068195207276, 'l1_ratio': 0.9819727051290863}
Trial 712: Value=0.12452329299222821, Params={'alpha': 0.021441834263730714, 'l1_ratio': 0.9996947872803063}
Trial 713: Value=1.0041624961256486, Params={'alpha': 199.53271225933392, 'l1_ratio': 0.9603512859991612}
Trial 714: Value=0.12481864762905708, Params={'alpha': 0.01568619925531347, 'l1_ratio': 0.9994467131593444}
Trial 715: Value=0.12747216724930296, Params={'alpha': 0.0459961124471863, 'l1_ratio': 0.9356455427908053}
Trial 716: Value=0.12545268952954178, Params={'alpha': 0.03062620644855551, 'l1_ratio': 0.966791094079397}
Trial 717: Value=0.12450155921448713, Params={'alpha': 0.02037854038244132, 'l1_ratio': 0.9829634754475296}
Trial 718: Value=0.12457265077323965, Params={'alpha': 0.022425504110081415, 'l1_ratio': 0.9820081381900778}
Trial 719: Value=0.12516228332102172, Params={'alpha': 0.014344067888097249, 'l1_ratio': 0.9596688866211696}
Trial 720: Value=0.12633010113007384, Params={'alpha': 0.009964811670646872, 'l1_ratio': 0.99935062796628}
Trial 721: Value=0.1246015002062204, Params={'alpha': 0.017765858041125196, 'l1_ratio': 0.9806591499780049}
Trial 722: Value=0.13055148438262906, Params={'alpha': 0.06363243168714211, 'l1_ratio': 0.999594056054934}
Trial 723: Value=0.1255163862921291, Params={'alpha': 0.031487565280606485, 'l1_ratio': 0.949674899102265}
Trial 724: Value=0.9644077901622164, Params={'alpha': 1.0920420921048537, 'l1_ratio': 0.9079188134468741}
Trial 725: Value=1.0041624961256486, Params={'alpha': 3.409715404354113, 'l1_ratio': 0.9679251975767016}
Trial 726: Value=0.12477621679577322, Params={'alpha': 0.024845145953391348, 'l1_ratio': 0.9999436207792979}
Trial 727: Value=0.12632753837493857, Params={'alpha': 0.038808045661578625, 'l1_ratio': 0.8836120565460636}
Trial 728: Value=0.12459261141130651, Params={'alpha': 0.019464571544856552, 'l1_ratio': 0.927530577359813}
Trial 729: Value=0.1253919674575528, Params={'alpha': 0.012896880742291313, 'l1_ratio': 0.978891376272263}
Trial 730: Value=0.12473243926939086, Params={'alpha': 0.024961864657725933, 'l1_ratio': 0.9540258305276661}
Trial 731: Value=0.12481588284805621, Params={'alpha': 0.016065388483377064, 'l1_ratio': 0.9811353397320903}
Trial 732: Value=0.125818415730123, Params={'alpha': 0.01133590764909029, 'l1_ratio': 0.9798477817944935}
Trial 733: Value=0.1244856908647793, Params={'alpha': 0.02030096885220301, 'l1_ratio': 0.9996119885052457}
Trial 734: Value=0.12621115053962131, Params={'alpha': 0.035228632454494986, 'l1_ratio': 0.9999371413737798}
Trial 735: Value=0.12451661958778347, Params={'alpha': 0.019032880656710948, 'l1_ratio': 0.9992714700033818}
Trial 736: Value=0.12495453239902886, Params={'alpha': 0.0270293088715672, 'l1_ratio': 0.9618194020021134}
Trial 737: Value=0.12501598480856993, Params={'alpha': 0.01476357341399904, 'l1_ratio': 0.9817883244374301}
Trial 738: Value=0.15889204510097293, Params={'alpha': 0.16667125387156312, 'l1_ratio': 0.9695009694925344}
Trial 739: Value=0.12775800564791032, Params={'alpha': 0.008528609795727896, 'l1_ratio': 0.9480547576873094}
Trial 740: Value=0.12467611646579836, Params={'alpha': 0.02370189962696492, 'l1_ratio': 0.9992225885411061}
Trial 741: Value=0.12708330928027786, Params={'alpha': 0.041847075885238096, 'l1_ratio': 0.9816795590634345}
Trial 742: Value=0.12471291482620324, Params={'alpha': 0.017036559804320305, 'l1_ratio': 0.9675473907160228}
