Best trial value: 0.18419841340299378
Best hyperparameters: {'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}

All trial results:
Trial 0: Value=0.4989656578997013, Params={'max_depth': 7, 'min_samples_split': 4, 'min_samples_leaf': 10, 'max_features': 'sqrt'}
Trial 404: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 405: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 406: Value=0.2095657677520557, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 1.0}
Trial 407: Value=0.5305482954865207, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 408: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 409: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 410: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 411: Value=0.19162531270923652, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 412: Value=0.19268208818039056, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 413: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 414: Value=0.20834914288116146, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 1.0}
Trial 415: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 416: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 417: Value=0.20388655127964328, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 9, 'max_features': 0.5}
Trial 418: Value=0.21717627645084095, Params={'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 419: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 420: Value=0.2081972378457172, Params={'max_depth': 4, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 421: Value=0.20605000123523978, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 1.0}
Trial 422: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 423: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 424: Value=0.20187404942303455, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 425: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 426: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 427: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 428: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 429: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 430: Value=0.47227758095985095, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 431: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 432: Value=0.5369542211279208, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': 'log2'}
Trial 433: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 434: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 435: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 436: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 437: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 438: Value=0.19268208818039056, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 439: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 440: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 441: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 442: Value=0.20187404942303455, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 443: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 444: Value=0.19111044830053361, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 445: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 446: Value=0.21717627645084095, Params={'max_depth': 14, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 447: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 448: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 449: Value=0.19706142355309106, Params={'max_depth': 8, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 450: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 451: Value=0.20786825424464103, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 1.0}
Trial 452: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 453: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 454: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 3, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 455: Value=0.20030729209941234, Params={'max_depth': 7, 'min_samples_split': 9, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 456: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 457: Value=0.460897705493929, Params={'max_depth': 12, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 458: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 459: Value=0.5305482954865207, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 460: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 461: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 462: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 463: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 464: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 465: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 466: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 467: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 468: Value=0.19111044830053361, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 469: Value=0.19330066931636514, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 470: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 471: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 472: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 473: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 474: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 475: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 476: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 477: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 478: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 479: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 480: Value=0.20187404942303455, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 481: Value=0.4713248344970647, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 482: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 483: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 484: Value=0.5354165651596449, Params={'max_depth': 7, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 485: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 486: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 487: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 488: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 489: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 490: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 491: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 492: Value=0.21492657341694624, Params={'max_depth': 4, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 493: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 494: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 495: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 496: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 497: Value=0.19111044830053361, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 498: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 499: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 500: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 501: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 502: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 503: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 504: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 505: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 506: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 507: Value=0.21195577339972582, Params={'max_depth': 9, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 508: Value=0.4713248344970647, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 509: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 510: Value=0.5074651319869962, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 'log2'}
Trial 511: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 512: Value=0.19706142355309106, Params={'max_depth': 8, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 513: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 514: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 515: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 516: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 517: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 518: Value=0.2536754008829565, Params={'max_depth': 3, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 519: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 520: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 521: Value=0.19111044830053361, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 522: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 523: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 524: Value=0.20030729209941234, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 525: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 526: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 527: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 528: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 529: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 530: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 531: Value=0.20137805410262302, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 532: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 533: Value=0.47227758095985095, Params={'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 534: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 535: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 536: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 537: Value=0.5354165651596449, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 538: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 539: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 540: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 541: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 542: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 543: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 544: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 545: Value=0.19268208818039056, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 546: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 547: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 548: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 549: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 550: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 551: Value=0.2054560178461561, Params={'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 552: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 553: Value=0.20634301010549647, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 1.0}
Trial 554: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 555: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 556: Value=0.21056701532228703, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 10, 'max_features': 1.0}
Trial 557: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 558: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 559: Value=0.4713248344970647, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 560: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 561: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 562: Value=0.5074651319869962, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 'log2'}
Trial 563: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 564: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 565: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 566: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 567: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 568: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 569: Value=0.19268208818039056, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 570: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 571: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 572: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 573: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 574: Value=0.19111044830053361, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 575: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 576: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 577: Value=0.20030729209941234, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 578: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 579: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 580: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 581: Value=0.20834914288116146, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 1.0}
Trial 582: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 583: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 584: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 585: Value=0.47227758095985095, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 586: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 587: Value=0.21274387118237137, Params={'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 588: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 589: Value=0.5305482954865207, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 590: Value=0.21717627645084095, Params={'max_depth': 11, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 591: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 592: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 593: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 594: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 595: Value=0.19268208818039056, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 596: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 597: Value=0.19162531270923652, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 598: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 599: Value=0.19111044830053361, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 600: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 601: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 602: Value=0.20187404942303455, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 603: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 604: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 605: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 606: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 1.0}
